" ";"Instrument";"Test";"QC";"QC lot No.";"Target mean";"Target SD";"SDI";"Number of values";"Bias";"Calculated mean";"Calculated SD";"CV%";"Usage"
"";"C6000-A:E1-1";"proBNP";"PC CARD1";"586866";"125.000";"7.500";"-0.528";"87";"-0.032";"121.037";"4.757";"3.930";"Study"
"";"C6000-A:E1-1";"proBNP";"PC CARD2";"586867";"4870.000";"292.000";"0.005";"87";"0.000";"4871.494";"187.237";"3.844";"Study"
"";"C6000-A:E2-1";"HIGH-SENSITIVITY TROPONIN T";"BIO CTC1";"89021";"17.720";"1.267";"0.368";"53";"0.026";"18.186";"0.482";"2.653";"Study"
"";"C6000-B:E3-1";"HIGH-SENSITIVITY TROPONIN T";"BIO CTC1";"89021";"17.720";"1.267";"-0.408";"4";"-0.029";"17.203";"0.133";"0.773";"Study"
"";"C6000-A";"HIGH-SENSITIVITY TROPONIN T";"BIO CTC1";"89021";"17.720";"1.267";"2.052";"1";"0.147";"20.320";"0.000";"0.000";"Study"
"";"C6000-B:E3-1";"HIGH-SENSITIVITY TROPONIN T";"BIO CTC1-B";"89021";"17.720";"1.267";"-0.432";"49";"-0.031";"17.173";"0.360";"2.098";"Study"
"";"C6000-A:E2-1";"HIGH-SENSITIVITY TROPONIN T";"PC TROP T";"4607CK";"6.380";"0.637";"-0.440";"1";"-0.044";"6.100";"0.000";"0.000";"Study"
"";"C6000-B:E3-1";"HIGH-SENSITIVITY TROPONIN T";"PC TROP T-B";"4607CK";"6.380";"0.637";"-1.413";"1";"-0.141";"5.480";"0.000";"0.000";"Study"
"";"C6000-A:C1";"ALBUMIN CSF";"LIQ SFC2";"56502";"348.000";"16.800";"-0.335";"110";"-0.016";"342.374";"11.761";"3.435";"Study"
"";"C6000-B:E3-1";"HIGH-SENSITIVITY TROPONIN T";"Ran Trop T";"4607CK";"6.380";"0.637";"-0.440";"1";"-0.044";"6.100";"0.000";"0.000";"In use"
"";"C6000-A:E2-1";"HIGH-SENSITIVITY TROPONIN T";"Ran Trop T";"4607CK";"6.380";"0.640";"0.147";"198";"0.015";"6.474";"0.688";"10.625";"In use"
"";"C6000-B:E3-1";"HIGH-SENSITIVITY TROPONIN T";"Ran Trop T-B";"4607CK";"6.380";"0.650";"-0.146";"197";"-0.015";"6.285";"0.616";"9.793";"Study"
"";"C6000-B:E3-2";"HIGH-SENSITIVITY TROPONIN T";"Ran Trop T-B";"4607CK";"6.380";"0.319";"2.821";"1";"0.141";"7.280";"0.000";"0.000";"Study"
"";"DCA UCT";"MALB POC";"DCA MALB/CREAT HIGH";"0060";"210.500";"14.030";"-0.217";"26";"-0.014";"207.454";"7.985";"3.849";"In use"
"";"DCA UCT";"CREATP";"DCA MALB/CREAT HIGH";"0060";"36.500";"2.433";"0.648";"26";"0.043";"38.077";"1.866";"4.902";"In use"
"";"C6000-A:E2-1";"PARATHYROID HORMONE";"PC V1";"581987";"6.000";"0.540";"0.864";"55";"0.078";"6.467";"0.268";"4.138";"Study"
"";"DCA OPD";"HBA1C POC";"DCA  HBA1c Abnormal";"155";"11.400";"1.150";"-0.435";"1";"-0.044";"10.900";"0.000";"0.000";"In use"
"";"C6000-B:C2";"ALBUMIN";"PCCC 2-B";"461597";"51.200";"1.600";"0.392";"68";"0.012";"51.828";"0.965";"1.861";"Study"
"";"C6000-B:C2";"ALKALINE PHOSPHATASE";"PCCC 2-B";"461597";"231.000";"14.000";"-0.055";"68";"-0.003";"230.235";"6.386";"2.774";"Study"
"";"C6000-B:C2";"CONJUGATED BILIRUBIN";"PCCC 2-B";"461597";"43.700";"3.500";"-0.568";"67";"-0.046";"41.710";"0.940";"2.253";"Study"
"";"C6000-B:C2";"TOTAL BILIRUBIN";"PCCC 2-B";"461597";"63.500";"3.800";"-0.232";"78";"-0.014";"62.617";"1.121";"1.790";"Study"
"";"C6000-B:C2";"CALCIUM";"PCCC 2-B";"461597";"3.400";"0.060";"-0.056";"74";"-0.001";"3.397";"0.060";"1.752";"Study"
"";"C6000-B:C2";"TOTAL CHOLESTEROL";"PCCC 2-B";"461597";"4.480";"0.220";"0.263";"64";"0.013";"4.538";"0.059";"1.289";"Study"
"";"C6000-B:C2";"GLUCOSE";"PCCC 2-B";"461597";"13.200";"0.700";"-0.323";"62";"-0.017";"12.974";"0.204";"1.572";"Study"
"";"C6000-B:C2";"MAGNESIUM";"PCCC 2-B";"461597";"1.280";"0.050";"0.279";"71";"0.011";"1.294";"0.022";"1.677";"Study"
"";"C6000-B:C2";"PHOSPHATE";"PCCC 2-B";"461597";"2.510";"0.130";"-0.354";"70";"-0.018";"2.464";"0.030";"1.202";"Study"
"";"C6000-B:C2";"UREA";"PCCC 2-B";"461597";"20.200";"1.000";"-0.523";"77";"-0.026";"19.677";"0.370";"1.878";"Study"
"";"C6000-B:C2";"CREATININE";"PCCC 2-B";"461597";"355.000";"21.000";"-0.147";"121";"-0.009";"351.909";"8.885";"2.525";"Study"
"";"C6000-B:ISE1";"SODIUM";"PCCC 2-B";"461597";"134.000";"4.000";"-0.008";"94";"0.000";"133.968";"1.492";"1.113";"Study"
"";"C6000-B:ISE1";"POTASSIUM";"PCCC 2-B";"461597";"6.870";"0.210";"-0.137";"92";"-0.004";"6.841";"0.055";"0.810";"Study"
"";"C6000-B:ISE1";"CHLORIDE";"PCCC 2-B";"461597";"103.100";"3.000";"0.157";"92";"0.005";"103.572";"1.375";"1.328";"Study"
"";"C6000-B:C2";"RHEUMATOID FACTOR";"RFCO1";"542412";"20.200";"1.300";"0.888";"33";"0.057";"21.355";"0.493";"2.306";"Study"
"";"C6000-B:C2";"RHEUMATOID FACTOR";"RFCO2";"542413";"49.300";"2.500";"0.544";"33";"0.028";"50.661";"1.343";"2.651";"Study"
"";"C6000-B:C2";"GLYCATED HAEMOGLOBIN (NGSP)";"PCA1N";"509111";"5.650";"0.170";"0.650";"110";"0.020";"5.760";"0.074";"1.290";"Study"
"";"C6000-B:C2";"RHD3";"PNA1c H";"509111";"5.650";"0.170";"0.438";"51";"0.013";"5.725";"0.114";"1.995";"Study"
"";"C6000-B:C2";"RHEUMATOID FACTOR";"RFCO1";"551843";"20.900";"1.400";"1.325";"22";"0.089";"22.755";"0.437";"1.921";"Study"
"";"C6000-B:C2";"RHEUMATOID FACTOR";"RFCO2";"551844";"50.100";"2.500";"0.800";"22";"0.040";"52.100";"0.748";"1.436";"Study"
"";"C6000-A:E2-1";"PARATHYROID HORMONE";"PC V1";"573355";"6.110";"0.550";"0.052";"92";"0.005";"6.138";"0.276";"4.493";"Study"
"";"C6000-A:E1-1";"PARATHYROID HORMONE";"PC V1";"573355";"6.110";"0.550";"0.891";"6";"0.080";"6.600";"0.213";"3.234";"Study"
"";"C6000-A:E1-2";"PARATHYROID HORMONE";"PC V1";"573355";"6.110";"0.550";"0.855";"6";"0.077";"6.580";"0.132";"2.002";"Study"
"";"C6000-A:E2-1";"PARATHYROID HORMONE";"PC V2";"573356";"21.200";"1.700";"-0.696";"92";"-0.056";"20.016";"0.816";"4.076";"Study"
"";"C6000-A:E1-1";"PARATHYROID HORMONE";"PC V2";"573356";"21.200";"1.700";"0.177";"6";"0.014";"21.502";"0.316";"1.468";"Study"
"";"C6000-A:E1-2";"PARATHYROID HORMONE";"PC V2";"573356";"21.200";"1.700";"0.094";"6";"0.008";"21.360";"0.278";"1.303";"Study"
"";"C6000-A:E1-2";"TRI-IODO THYRONINE";"RIAP L2";"2107EC";"13.600";"1.700";"0.123";"276";"0.015";"13.810";"0.479";"3.468";"Study"
"";"C6000-A:E1-2";"INSULIN";"RIAP L2";"2107EC";"13.900";"1.750";"0.015";"316";"0.002";"13.926";"0.682";"4.897";"Study"
"";"C6000-A:E1-2";"FREE PSA";"RIAP L2";"2107EC";"7.460";"0.933";"0.275";"290";"0.034";"7.716";"0.430";"5.567";"Study"
"";"C6000-A:E1-2";"PROLACTIN";"RIAP L2";"2107EC";"29.046";"2.914";"-0.172";"279";"-0.017";"28.545";"1.343";"4.706";"Study"
"";"C6000-A:E1-2";"CORTISOL II";"RIAP L2";"2107EC";"631.000";"79.000";"0.158";"281";"0.020";"643.459";"24.390";"3.790";"Study"
"";"C6000-A:E1-2";"VITAMIN B12 II";"RIAP L2";"2107EC";"430.000";"43.000";"0.264";"407";"0.026";"441.334";"17.812";"4.036";"Study"
"";"C6000-A:E2-1";"TESTOSTERONE";"RIAP L2";"2107EC";"12.900";"1.300";"-0.014";"273";"-0.001";"12.882";"0.938";"7.282";"Study"
"";"C6000-A:E2-2";"PROSTATE-SPECIFIC AG";"RIAP L2";"2107EC";"9.680";"1.210";"0.123";"340";"0.015";"9.828";"0.728";"7.410";"Study"
"";"C6000-A:E2-2";"THYROID STIMULATING HORMONE";"RIAP L2";"2107EC";"2.340";"0.235";"0.250";"420";"0.025";"2.399";"0.144";"6.018";"Study"
"";"C6000-A:E2-2";"SEX HORMONE BINDING GLOBULIN";"RIAP L2";"2107EC";"39.000";"3.900";"-0.315";"268";"-0.032";"37.770";"1.431";"3.788";"Study"
"";"C6000-A:E2-2";"DEHYDROEPIANDROSTERONE SULPHAT";"RIAP L2";"2107EC";"16.700";"1.090";"-0.660";"277";"-0.043";"15.980";"0.774";"4.841";"Study"
"";"C6000-A:E2-2";"SERUM FOLATE III";"RIAP L2";"2107EC";"12.027";"0.715";"0.150";"352";"0.009";"12.134";"0.967";"7.969";"Study"
"";"C6000-A:E1-1";"Free T4 Gen 3";"RIAP L2";"2107EC";"29.100";"3.650";"-0.142";"144";"-0.018";"28.582";"1.329";"4.649";"Study"
"";"C6000-A:E2-2";"C-peptide";"RIAP L2";"2107EC";"6.220";"0.770";"0.060";"357";"0.007";"6.266";"0.220";"3.510";"Study"
"";"C6000-A:E1-1";"PROSTATE-SPECIFIC AG";"RIAP L2";"2107EC";"9.680";"1.210";"0.298";"3";"0.037";"10.040";"0.105";"1.049";"Study"
"";"C6000-A:E1-1";"SERUM FOLATE III";"RIAP L2";"2107EC";"10.800";"1.080";"1.944";"1";"0.194";"12.900";"0.000";"0.000";"Study"
"";"C6000-A:E1-1";"ALPHA-FETO PROTEIN";"RIAP L2";"2107EC";"58.900";"5.850";"0.703";"6";"0.070";"63.013";"2.289";"3.633";"Study"
"";"C6000-A:E1-2";"C-peptide";"RIAP L2";"2107EC";"6.130";"0.770";"0.665";"6";"0.083";"6.642";"1.174";"17.683";"Study"
"";"OSMO1";"Urine osmolality";"Biorad Urine QC1";"88161";"437.000";"3.500";"-0.143";"102";"-0.001";"436.500";"1.913";"0.438";"Study"
"";"OSMO1";"Urine osmolality";"Biorad Urine QC1";"88162";"789.000";"5.667";"-0.220";"93";"-0.002";"787.753";"3.236";"0.411";"Study"
"";"C6000-B:ISE1";"SODIUM URINE";"Bio-liq 2";"88162";"165.000";"9.000";"0.259";"164";"0.014";"167.335";"3.526";"2.107";"Study"
"";"C6000-B:ISE1";"POTASSIUM URINE";"Bio-liq 2";"88162";"66.100";"2.450";"0.546";"137";"0.020";"67.437";"1.865";"2.765";"Study"
"";"C6000-B:ISE1";"CHLORIDE URINE";"Bio-liq 2";"88162";"188.000";"8.000";"0.773";"157";"0.033";"194.188";"3.983";"2.051";"Study"
"";"C6000-B:C2";"CALCIUM URINE";"Bio-liq 2";"88162";"2.640";"0.090";"0.777";"112";"0.026";"2.710";"0.047";"1.740";"Study"
"";"C6000-B:C2";"MAGNESIUM URINE";"Bio-liq 2";"88162";"3.830";"0.202";"0.469";"125";"0.025";"3.925";"0.114";"2.894";"Study"
"";"C6000-B:C2";"INORGANIC PHOSPHATE URINE";"Bio-liq 2";"88162";"16.200";"0.750";"0.300";"107";"0.014";"16.425";"0.388";"2.364";"Study"
"";"C6000-B:C2";"UREA URINE";"Bio-liq 2";"88162";"253.000";"16.000";"0.290";"131";"0.018";"257.644";"9.902";"3.843";"Study"
"";"C6000-B:C2";"URIC ACID URINE";"Bio-liq 2";"88162";"1.270";"0.070";"0.176";"99";"0.010";"1.282";"0.029";"2.279";"Study"
"";"C6000-B";"POTASSIUM URINE";"Bio-liq 2";"88162";"66.100";"1.617";"1.150";"1";"0.028";"67.960";"0.000";"0.000";"Study"
"";"C6000-B";"SODIUM URINE";"Bio-liq 2";"88162";"165.000";"5.833";"0.514";"1";"0.018";"168.000";"0.000";"0.000";"Study"
"";"C6000-B";"UREA URINE";"Bio-liq 2";"88162";"253.000";"10.669";"0.881";"1";"0.037";"262.400";"0.000";"0.000";"Study"
"";"C6000-B";"URIC ACID URINE";"Bio-liq 2";"88162";"1.270";"0.045";"1.289";"1";"0.046";"1.328";"0.000";"0.000";"Study"
"";"C6000-B";"CALCIUM URINE";"Bio-liq 2";"88162";"2.640";"0.060";"0.667";"1";"0.015";"2.680";"0.000";"0.000";"Study"
"";"C6000-B";"CHLORIDE URINE";"Bio-liq 2";"88162";"188.000";"5.330";"1.482";"1";"0.042";"195.900";"0.000";"0.000";"Study"
"";"C6000-B";"MAGNESIUM URINE";"Bio-liq 2";"88162";"3.830";"0.202";"1.436";"1";"0.076";"4.120";"0.000";"0.000";"Study"
"";"C6000-A:E2-1";"ANTI-THYROGLOBULIN AB";"PC THYRO1";"580444";"113.000";"11.300";"-0.029";"228";"-0.003";"112.670";"8.097";"7.186";"Study"
"";"C6000-A:E1-1";"ANTI-THYROID PEROXIDASE AB";"PC THYRO1";"580444";"46.100";"4.610";"0.353";"43";"0.035";"47.726";"4.714";"9.876";"Study"
"";"C6000-A:E1-2";"ANTI-THYROGLOBULIN AB";"PC THYRO1";"580444";"113.000";"11.300";"0.226";"4";"0.023";"115.550";"3.159";"2.734";"Study"
"";"C6000-A:E2-1";"ANTI-THYROGLOBULIN AB";"PC THYRO2";"580446";"224.000";"22.400";"-0.103";"231";"-0.010";"221.702";"16.968";"7.653";"Study"
"";"C6000-A:E1-1";"ANTI-THYROID PEROXIDASE AB";"PC THYRO2";"580446";"109.000";"7.630";"0.054";"42";"0.004";"109.415";"8.373";"7.653";"Study"
"";"C6000-A:E1-2";"ANTI-THYROGLOBULIN AB";"PC THYRO2";"580446";"224.000";"22.400";"-0.107";"4";"-0.011";"221.600";"6.730";"3.037";"Study"
"";"C6000-A:C1";"ALBUMIN CSF";"LIQ SFC2";"56492";"346.000";"16.700";"0.279";"48";"0.013";"350.658";"6.191";"1.765";"Study"
"";"C6000-B:C2";"GLYCATED HAEMOGLOBIN (NGSP)";"PCA1N";"563450";"5.690";"0.170";"0.275";"63";"0.008";"5.737";"0.070";"1.213";"Study"
"";"C6000-B:C2";"RHD3";"PNA1c H";"563450";"5.630";"0.170";"0.735";"165";"0.022";"5.755";"0.117";"2.025";"Study"
"";"C6000-A:E2-1";"PARATHYROID HORMONE";"PC V2";"581988";"19.600";"1.570";"0.802";"55";"0.064";"20.859";"0.286";"1.373";"Study"
"";"C6000-B:E4-1";"HIV combi PT";"PCII HIV1";"590727";"0.174";"0.060";"0.392";"303";"0.135";"0.197";"0.031";"15.926";"Study"
"";"C6000-B:E4-2";"HIV combi PT";"PCII HIV1";"590727";"0.182";"0.060";"0.342";"304";"0.113";"0.202";"0.037";"18.379";"Study"
"";"C6000-B:E3-1";"HIV combi PT";"PCII HIV1";"590727";"0.251";"0.083";"-0.908";"3";"-0.300";"0.176";"0.006";"3.431";"Study"
"";"C6000-B:E3-2";"HIV combi PT";"PCII HIV1";"590727";"0.251";"0.083";"-1.169";"2";"-0.386";"0.154";"0.001";"0.918";"Study"
"";"C6000-B:E4-1";"HIV combi PT";"PCII HIV2";"590730";"4.650";"0.300";"0.229";"309";"0.015";"4.718";"0.225";"4.775";"Study"
"";"C6000-B:E4-2";"HIV combi PT";"PCII HIV2";"590730";"4.574";"0.300";"0.675";"304";"0.044";"4.776";"0.277";"5.809";"Study"
"";"C6000-B:E3-1";"HIV combi PT";"PCII HIV2";"590730";"4.720";"0.790";"-0.008";"3";"-0.001";"4.713";"0.065";"1.380";"Study"
"";"C6000-B:E3-2";"HIV combi PT";"PCII HIV2";"590730";"4.720";"0.790";"-0.006";"2";"-0.001";"4.715";"0.106";"2.250";"Study"
"";"C6000-B:E4-1";"HIV combi PT";"PCII HIV3";"590732";"3.796";"0.250";"0.165";"306";"0.011";"3.837";"0.189";"4.936";"Study"
"";"C6000-B:E4-2";"HIV combi PT";"PCII HIV3";"590732";"3.724";"0.250";"0.657";"301";"0.044";"3.888";"0.251";"6.450";"Study"
"";"C6000-B:E3-1";"HIV combi PT";"PCII HIV3";"590732";"4.400";"0.730";"-0.890";"3";"-0.148";"3.750";"0.106";"2.822";"Study"
"";"C6000-B:E3-2";"HIV combi PT";"PCII HIV3";"590732";"4.400";"0.730";"-0.884";"2";"-0.147";"3.755";"0.049";"1.318";"Study"
"";"Osmometer3320";"Osmolality";"Serim BIOLIQ 2";"45912";"416.000";"5.833";"-0.857";"1";"-0.012";"411.000";"0.000";"0.000";"In use"
"";"OSMO1";"Osmolality";"Serim BIOLIQ 2";"45912";"416.000";"5.833";"-0.776";"139";"-0.011";"411.475";"3.552";"0.863";"Study"
"";"C6000-A:E1-1";"PROCALCITONIN (SENSITIVE)";"PC PCT2";"559763";"9.500";"0.570";"0.048";"4";"0.003";"9.528";"0.211";"2.217";"Study"
"";"C6000-A:E1-2";"PROCALCITONIN (SENSITIVE)";"PC PCT2";"559763";"9.500";"0.570";"-0.259";"4";"-0.016";"9.353";"0.243";"2.602";"Study"
"";"C6000-A:E2-1";"PROCALCITONIN (SENSITIVE)";"PC PCT2";"559763";"9.500";"0.570";"-0.142";"182";"-0.009";"9.419";"0.379";"4.027";"Study"
"";"C6000-A:E1-1";"PROCALCITONIN (SENSITIVE)";"PC PCT1";"559760";"0.500";"0.040";"0.219";"4";"0.018";"0.509";"0.008";"1.592";"Study"
"";"C6000-A:E1-2";"PROCALCITONIN (SENSITIVE)";"PC PCT1";"559760";"0.500";"0.040";"-0.025";"4";"-0.002";"0.499";"0.013";"2.561";"Study"
"";"C6000-A:E2-1";"PROCALCITONIN (SENSITIVE)";"PC PCT1";"559760";"0.500";"0.040";"0.227";"181";"0.018";"0.509";"0.024";"4.799";"Study"
"";"C6000-B:E4-2";"Anti-SARS-CoV-2 Qaun";"PC ACOV2 1";"612848";"0.090";"0.090";"0.018";"5";"0.018";"0.092";"0.006";"6.059";"Study"
"";"C6000-B";"Anti-SARS-CoV-2 Qaun";"PC ACOV2 1";"612848";"0.400";"0.133";"-2.276";"4";"-0.757";"0.097";"0.007";"6.892";"Study"
"";"C6000-A:E1-1";"Free T4 Gen 3";"sRIAP L2";"2107EC";"29.100";"3.650";"0.004";"434";"0.001";"29.116";"1.167";"4.008";"Study"
"";"C6000-A:E1-1";"ALPHA-FETO PROTEIN";"sRIAP L2";"2107EC";"48.000";"6.250";"-0.423";"7";"-0.055";"45.357";"0.874";"1.926";"Study"
"";"C6000-A:E2-1";"FERRITIN";"sRIAP L1";"2105EC";"14.050";"1.180";"0.237";"515";"0.020";"14.330";"1.274";"8.887";"Study"
"";"C6000-A:E1-1";"Free T4 Gen 3";"sRIAP L1";"2105EC";"13.300";"0.530";"0.373";"476";"0.015";"13.497";"0.504";"3.737";"Study"
"";"C6000-A";"Free T4 Gen 3";"sRIAP L1";"2105EC";"13.300";"0.530";"2.774";"1";"0.111";"14.770";"0.000";"0.000";"Study"
"";"C6000-A:E1-2";"FERRITIN";"sRIAP L1";"2105EC";"15.740";"1.330";"-0.875";"3";"-0.074";"14.577";"2.314";"15.877";"Study"
"";"C6000-A:E1-1";"FERRITIN";"sRIAP L1";"2105EC";"15.740";"1.330";"-0.687";"3";"-0.058";"14.827";"2.354";"15.874";"Study"
"";"C6000-A:E1-1";"ALPHA-FETO PROTEIN";"sRIAP L1";"2105EC";"9.340";"0.935";"0.576";"8";"0.058";"9.879";"0.906";"9.173";"Study"
"";"C6000-B:E4-2";"Anti-SARS-CoV-2 Qaun";"PC ACOV2 2";"612856";"3.200";"0.480";"-0.404";"5";"-0.061";"3.006";"0.053";"1.754";"Study"
"";"C6000-B";"Anti-SARS-CoV-2 Qaun";"PC ACOV2 2";"612856";"3.200";"0.480";"-0.500";"5";"-0.075";"2.960";"0.203";"6.857";"Study"
"";"C6000-A:E2-2";"Anti-Mullerian Hormone";"PC AMH1";"576975";"6.140";"0.430";"-1.017";"12";"-0.071";"5.703";"0.069";"1.206";"Study"
"";"C6000-A:E2-2";"Anti-Mullerian Hormone";"PC AMH2";"576976";"33.300";"1.670";"-1.355";"12";"-0.068";"31.037";"0.765";"2.465";"Study"
"";"C6000-B:E4-2";"Anti-SARS-CoV-2 Qaun";"PC ACOV2 2";"630754";"3.200";"0.480";"-0.653";"3";"-0.098";"2.887";"0.055";"1.908";"Study"
"";"C6000-A:C1";"H INDEX";"HAEMOL";"88270";"200.000";"20.000";"-0.124";"165";"-0.012";"197.515";"6.812";"3.449";"In use"
"";"C6000-A:C1";"I INDEX";"HAEMOL";"88270";"0.000";"1.000";"0.012";"163";"NaN";"0.012";"0.110";"899.983";"In use"
"";"C6000-A:C1";"L INDEX";"HAEMOL";"88270";"0.000";"15.000";"0.142";"163";"NaN";"2.123";"1.699";"80.032";"In use"
"";"C6000-B:C2";"H INDEX";"HAEMOL";"88270";"200.000";"20.000";"-0.425";"4";"-0.043";"191.500";"3.416";"1.784";"Study"
"";"C6000-B:C2";"I INDEX";"HAEMOL";"88270";"0.000";"1.000";"0.000";"4";"NaN";"0.000";"0.000";"Incalculable";"Study"
"";"C6000-B:C2";"L INDEX";"HAEMOL";"88270";"0.000";"15.000";"0.167";"4";"NaN";"2.500";"1.732";"69.282";"Study"
"";"C6000-A";"H INDEX";"HAEMOL";"88270";"200.000";"20.000";"-0.128";"9";"-0.013";"197.444";"3.127";"1.584";"In use"
"";"C6000-B";"H INDEX";"HAEMOL";"88270";"200.000";"20.000";"-0.475";"2";"-0.048";"190.500";"4.950";"2.598";"Study"
"";"C6000-A";"I INDEX";"HAEMOL";"88270";"0.000";"1.000";"0.000";"5";"NaN";"0.000";"0.000";"Incalculable";"In use"
"";"C6000-A";"L INDEX";"HAEMOL";"88270";"0.000";"15.000";"0.213";"5";"NaN";"3.200";"1.789";"55.902";"In use"
"";"C6000-B:E4-2";"Anti-SARS-CoV-2 Qaun";"PC ACOV2 1";"630752";"0.100";"0.133";"-0.048";"3";"-0.063";"0.094";"0.003";"3.262";"Study"
"";"OSMO1";"Osmolality";"Serim BIOLIQ 1";"45861";"305.000";"3.000";"0.667";"2";"0.007";"307.000";"4.243";"1.382";"Study"
"";"OSMO1";"Osmolality";"Serim BIOLIQ 2";"45862";"401.000";"4.000";"0.061";"41";"0.001";"401.244";"3.145";"0.784";"Study"
"";"LIAISON XL";"Insulin-like growth factor I";"IGF-1 L1";"1411193";"102.000";"11.667";"0.284";"16";"0.032";"105.314";"12.343";"11.720";"Study"
"";"LIAISON XL";"Insulin-like growth factor I";"IGF-1 L2";"1421193";"409.000";"29.333";"-0.582";"16";"-0.042";"391.919";"28.026";"7.151";"Study"
"";"LIAISON XL";"Human growth hormone";"hGH L1";"7980310";"3.810";"0.257";"-0.154";"55";"-0.010";"3.771";"0.148";"3.914";"Study"
"";"LIAISON XL";"Human growth hormone";"hGH L2";"9260310";"17.800";"1.200";"-0.292";"52";"-0.020";"17.450";"0.623";"3.568";"Study"
"";"C6000-A:C1";"ALBUMIN URINE";"PP PUC";"531181";"116.000";"9.000";"-0.191";"40";"-0.015";"114.280";"2.080";"1.820";"Study"
"";"C6000-A:C1";"PROTEIN URINE";"PP PUC";"531181";"1.310";"0.100";"-0.584";"38";"-0.045";"1.252";"0.012";"0.951";"Study"
"";"C6000-A:C1";"CREATININE URINE";"PP PUC";"531181";"4.350";"0.260";"0.387";"80";"0.023";"4.451";"0.165";"3.702";"Study"
"";"C6000-A:C1";"IGG CSF";"PPPUC TPC3";"531181";"140.000";"11.000";"-0.531";"32";"-0.042";"134.157";"4.527";"3.374";"Study"
"";"C6000-A:C1";"PROTEIN CSF";"PPPUC TPC3";"531181";"1.460";"0.150";"-0.201";"35";"-0.021";"1.430";"0.015";"1.081";"Study"
"";"C6000-A:C1";"ALBUMIN CSF";"PPPUC TPC3";"531181";"122.000";"10.000";"-0.233";"37";"-0.019";"119.670";"3.483";"2.911";"Study"
"";"LIAISON XL";"C-peptide";"Liason CPEP L2";"2124EC";"7.430";"0.613";"-0.367";"6";"-0.030";"7.205";"0.160";"2.219";"In use"
"";"LIAISON XL";"C-peptide";"Liason CPEP L1";"2105EC";"2.150";"0.180";"0.009";"6";"0.001";"2.152";"0.062";"2.886";"In use"
"";"C6000-A:C1";"ALBUMIN URINE";"PN PUC";"531179";"27.700";"2.200";"0.108";"82";"0.009";"27.938";"1.007";"3.603";"Study"
"";"C6000-A:C1";"PROTEIN URINE";"PN PUC";"531179";"0.175";"0.014";"-0.027";"81";"-0.002";"0.175";"0.005";"3.148";"Study"
"";"C6000-A:C1";"CREATININE URINE";"PN PUC";"531179";"9.050";"0.540";"-0.799";"174";"-0.048";"8.619";"0.328";"3.803";"Study"
"";"C6000-A:C1";"PROTEIN CSF";"PNPUC TPC3";"531179";"0.210";"0.021";"0.057";"79";"0.006";"0.211";"0.006";"2.808";"Study"
"";"C6000-A:C1";"IGG CSF";"PNPUC TPC3";"531179";"20.000";"1.600";"0.019";"75";"0.002";"20.031";"1.022";"5.101";"Study"
"";"C6000-A:C1";"CONJUGATED BILIRUBIN";"MAS BILIRUBIN 3";"BC23063A";"173.000";"17.300";"-0.343";"66";"-0.034";"167.064";"7.828";"4.686";"Study"
"";"C6000-A:C1";"TOTAL BILIRUBIN";"MAS BILIRUBIN 3";"BC23063A";"327.000";"17.800";"-0.318";"73";"-0.017";"321.348";"11.243";"3.499";"Study"
"";"C6000-B:C2";"CONJUGATED BILIRUBIN";"MAS BILIRUBIN-B";"BC23063A";"173.000";"17.300";"-0.163";"61";"-0.016";"170.185";"4.929";"2.896";"Study"
"";"C6000-B:C2";"TOTAL BILIRUBIN";"MAS BILIRUBIN-B";"BC23063A";"327.000";"17.800";"-0.160";"72";"-0.009";"324.158";"9.218";"2.844";"Study"
"";"C6000-A:C1";"ALBUMIN CSF";"LIQ SFC2";"56482";"362.000";"17.200";"-0.407";"13";"-0.019";"355.000";"5.404";"1.522";"Study"
"";"C6000-A:E1-1";"OESTRADIOL III";"RIAP L3";"2110EC";"1241.000";"124.000";"0.039";"143";"0.004";"1245.881";"47.338";"3.800";"Study"
"";"C6000-A:E1-1";"BETA-HCG";"RIAP L3";"2110EC";"310.000";"31.000";"-0.299";"151";"-0.030";"300.732";"12.793";"4.254";"Study"
"";"C6000-A:E1-1";"ALPHA-FETO PROTEIN";"RIAP L3";"2110EC";"226.000";"22.000";"0.254";"149";"0.025";"231.580";"8.700";"3.757";"Study"
"";"C6000-A:E1-1";"THYROGLOBULIN v2";"RIAP L3";"2110EC";"68.800";"8.600";"-0.207";"144";"-0.026";"67.020";"3.168";"4.727";"Study"
"";"C6000-A:E1-2";"INSULIN";"RIAP L3";"2110EC";"27.900";"3.500";"-0.023";"156";"-0.003";"27.819";"1.596";"5.737";"Study"
"";"C6000-A:E1-2";"LUTEINISING HORMONE";"RIAP L3";"2110EC";"55.600";"5.550";"-0.383";"136";"-0.038";"53.477";"2.135";"3.993";"Study"
"";"C6000-A:E1-2";"CARCINOEMBRYONIC AG";"RIAP L3";"2110EC";"51.600";"5.150";"0.416";"143";"0.042";"53.743";"2.253";"4.191";"Study"
"";"C6000-A:E2-1";"FERRITIN";"RIAP L3";"2110EC";"310.000";"31.000";"0.536";"133";"0.054";"326.623";"12.159";"3.723";"Study"
"";"C6000-A:E2-1";"CA 19-9";"RIAP L3";"2110EC";"168.450";"16.000";"-0.022";"146";"-0.002";"168.101";"6.475";"3.852";"Study"
